F0semitoneFrom27.5Hz_sma3nz_amean,"mean logarithmic F0 on a semitone frequency scale, starting at 27.5 Hz (semitone 0) "
hammarbergIndexV_sma3nz_amean,mean Hammarberg Index (ratio of the strongest energy peak in the 0Ð2 kHz region to the strongest peak in the 2Ð5 kHz region) computed over voiced regions only
hammarbergIndexV_sma3nz_stddevNorm,standard deviation of Hammarberg Index (ratio of the strongest energy peak in the 0Ð2 kHz region to the strongest peak in the 2Ð5 kHz region) computed over voiced regions only
slopeV0-500_sma3nz_amean,mean spectral slope from 0Ð500 Hz over all voiced segments
slopeV0-500_sma3nz_stddevNorm,standard deviation of spectral slope from 0Ð500 Hz over all voiced segments
slopeV500-1500_sma3nz_amean,mean spectral slope from 500Ð1500 Hz over all voiced segments
slopeV500-1500_sma3nz_stddevNorm,standard deviation of spectral slope from 500Ð1500 Hz over all voiced segments
spectralFluxV_sma3nz_amean,mean spectral flux (difference of the spectra of two consecutive frames) computed over voiced segments
spectralFluxV_sma3nz_stddevNorm,standard deviation of spectral flux (difference of the spectra of two consecutive frames) computed over voiced segments
mfcc1V_sma3nz_amean,mean of the first Mel-Frequency-Cepstral-Coefficient (MFCC-1) computed over voiced regions only
mfcc1V_sma3nz_stddevNorm,standard deviation of the first (Mel-Frequency-Cepstral-Coefficient (MFCC-1) computed over voiced regions only
mfcc2V_sma3nz_amean,mean of the second Mel-Frequency-Cepstral-Coefficient (MFCC-2) computed over voiced regions only
mfcc2V_sma3nz_stddevNorm,standard deviation of the second Mel-Frequency-Cepstral-Coefficient (MFCC-2) computed over voiced regions only
mfcc3V_sma3nz_amean,mean of the third Mel-Frequency-Cepstral-Coefficient (MFCC-3) computed over voiced regions only
mfcc3V_sma3nz_stddevNorm,standard deviation of the third Mel-Frequency-Cepstral-Coefficient (MFCC-3) computed over voiced regions only
mfcc4V_sma3nz_amean,mean of the fourth Mel-Frequency-Cepstral-Coefficient (MFCC-4) computed over voiced regions only
mfcc4V_sma3nz_stddevNorm,standard deviation of the fourth Mel-Frequency-Cepstral-Coefficient (MFCC-4) computed over voiced regions only
alphaRatioUV_sma3nz_amean,mean Alpha Ratio (ratio of the summed energy from 50Ð1000 Hz and 1Ð5 kHz) computed over unvoiced regions only
hammarbergIndexUV_sma3nz_amean,mean Hammarberg Index (ratio of the strongest energy peak in the 0Ð2 kHz region to the strongest peak in the 2Ð5 kHz region) computed over unvoiced regions only
slopeUV0-500_sma3nz_amean,mean spectral slope from 0Ð500 Hz over all unvoiced segments
slopeUV500-1500_sma3nz_amean,mean spectral slope from 500-1500 Hz over all unvoiced segments
spectralFluxUV_sma3nz_amean,mean spectral flux (difference of the spectra of two consecutive frames) computed over unvoiced segments
loudnessPeaksPerSec,rate of loudness peaks
VoicedSegmentsPerSec,number of continuous voiced regions per sec (pseudo syllable rate)
MeanVoicedSegmentLengthSec,mean length of continuously voiced regions (F0 > 0) 
StddevVoicedSegmentLengthSec,standard deviation of continuously voiced regions (F0 > 0) 
MeanUnvoicedSegmentLength,"mean length of continuously unvoiced regions (F0 ~ 0, approximating pauses) "
StddevUnvoicedSegmentLength,"standard deviation of continuously unvoiced regions (F0 ~ 0, approximating pauses) "
equivalentSoundLevel_dBp,"equivalent sound level (LEq), converted from the average of the per-frame RMS energies to a logarithmic (dB) scale"
